Resumen de solapamientos — Feature: feature_24
Tolerancia: 0.0
Total coincidencias: 280
Pares de páginas con solapamiento: 268

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_27 <-> pagina_51                              2
pagina_27 <-> pagina_74                              2
pagina_27 <-> pagina_99                              2
pagina_31 <-> pagina_42                              2
pagina_31 <-> pagina_61                              2
pagina_31 <-> pagina_83                              2
pagina_41 <-> pagina_61                              2
pagina_42 <-> pagina_61                              2
pagina_42 <-> pagina_83                              2
pagina_61 <-> pagina_83                              2
pagina_66 <-> pagina_80                              2
pagina_74 <-> pagina_99                              2
pagina_11 <-> pagina_16                              1
pagina_11 <-> pagina_24                              1
pagina_11 <-> pagina_31                              1
pagina_11 <-> pagina_41                              1
pagina_11 <-> pagina_42                              1
pagina_11 <-> pagina_47                              1
pagina_11 <-> pagina_61                              1
pagina_11 <-> pagina_63                              1
pagina_11 <-> pagina_66                              1
pagina_11 <-> pagina_70                              1
pagina_11 <-> pagina_80                              1
pagina_11 <-> pagina_83                              1
pagina_11 <-> pagina_88                              1
pagina_11 <-> pagina_90                              1
pagina_11 <-> pagina_92                              1
pagina_11 <-> pagina_94                              1
pagina_14 <-> pagina_33                              1
pagina_14 <-> pagina_57                              1
pagina_16 <-> pagina_24                              1
pagina_16 <-> pagina_31                              1
pagina_16 <-> pagina_41                              1
pagina_16 <-> pagina_42                              1
pagina_16 <-> pagina_61                              1
pagina_16 <-> pagina_63                              1
pagina_16 <-> pagina_66                              1
pagina_16 <-> pagina_70                              1
pagina_16 <-> pagina_80                              1
pagina_16 <-> pagina_83                              1
pagina_16 <-> pagina_88                              1
pagina_16 <-> pagina_90                              1
pagina_16 <-> pagina_92                              1
pagina_16 <-> pagina_94                              1
pagina_19 <-> pagina_47                              1
pagina_2 <-> pagina_79                              1
pagina_20 <-> pagina_86                              1
pagina_24 <-> pagina_31                              1
pagina_24 <-> pagina_41                              1
pagina_24 <-> pagina_42                              1
pagina_24 <-> pagina_54                              1
pagina_24 <-> pagina_61                              1
pagina_24 <-> pagina_63                              1
pagina_24 <-> pagina_66                              1
pagina_24 <-> pagina_70                              1
pagina_24 <-> pagina_80                              1
pagina_24 <-> pagina_83                              1
pagina_24 <-> pagina_88                              1
pagina_24 <-> pagina_90                              1
pagina_24 <-> pagina_92                              1
pagina_24 <-> pagina_94                              1
pagina_26 <-> pagina_27                              1
pagina_26 <-> pagina_32                              1
pagina_26 <-> pagina_5                               1
pagina_26 <-> pagina_51                              1
pagina_26 <-> pagina_56                              1
pagina_26 <-> pagina_65                              1
pagina_26 <-> pagina_66                              1
pagina_26 <-> pagina_68                              1
pagina_26 <-> pagina_74                              1
pagina_26 <-> pagina_77                              1
pagina_26 <-> pagina_8                               1
pagina_26 <-> pagina_80                              1
pagina_26 <-> pagina_84                              1
pagina_26 <-> pagina_98                              1
pagina_26 <-> pagina_99                              1
pagina_27 <-> pagina_32                              1
