Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_97 <-> pagina_99                             38
pagina_100 <-> pagina_97                             35
pagina_100 <-> pagina_98                             35
pagina_95 <-> pagina_98                             35
pagina_92 <-> pagina_93                             34
pagina_94 <-> pagina_95                             34
pagina_95 <-> pagina_96                             33
pagina_94 <-> pagina_97                             32
pagina_94 <-> pagina_98                             32
pagina_100 <-> pagina_99                             31
pagina_90 <-> pagina_91                             31
pagina_91 <-> pagina_94                             31
pagina_94 <-> pagina_99                             31
pagina_96 <-> pagina_97                             31
pagina_96 <-> pagina_99                             31
pagina_90 <-> pagina_94                             30
pagina_90 <-> pagina_98                             30
pagina_91 <-> pagina_98                             30
pagina_93 <-> pagina_94                             30
pagina_97 <-> pagina_98                             30
pagina_100 <-> pagina_93                             29
pagina_93 <-> pagina_95                             29
pagina_93 <-> pagina_96                             29
pagina_93 <-> pagina_97                             29
pagina_100 <-> pagina_91                             28
pagina_100 <-> pagina_94                             28
pagina_88 <-> pagina_91                             28
pagina_91 <-> pagina_96                             28
pagina_92 <-> pagina_95                             28
pagina_94 <-> pagina_96                             28
pagina_86 <-> pagina_91                             27
pagina_87 <-> pagina_94                             27
pagina_90 <-> pagina_96                             27
pagina_95 <-> pagina_97                             27
pagina_98 <-> pagina_99                             27
pagina_100 <-> pagina_87                             26
pagina_100 <-> pagina_95                             26
pagina_87 <-> pagina_96                             26
pagina_88 <-> pagina_94                             26
pagina_90 <-> pagina_93                             26
pagina_91 <-> pagina_93                             26
pagina_91 <-> pagina_99                             26
pagina_92 <-> pagina_96                             26
pagina_92 <-> pagina_98                             26
pagina_95 <-> pagina_99                             26
pagina_86 <-> pagina_88                             25
pagina_86 <-> pagina_94                             25
pagina_88 <-> pagina_90                             25
pagina_89 <-> pagina_90                             25
pagina_90 <-> pagina_92                             25
pagina_91 <-> pagina_97                             25
pagina_92 <-> pagina_94                             25
pagina_92 <-> pagina_97                             25
pagina_93 <-> pagina_98                             25
pagina_100 <-> pagina_90                             24
pagina_100 <-> pagina_96                             24
pagina_75 <-> pagina_76                             24
pagina_85 <-> pagina_88                             24
pagina_87 <-> pagina_90                             24
pagina_89 <-> pagina_93                             24
pagina_90 <-> pagina_95                             24
pagina_91 <-> pagina_92                             24
pagina_93 <-> pagina_99                             24
pagina_96 <-> pagina_98                             24
pagina_100 <-> pagina_86                             23
pagina_100 <-> pagina_92                             23
pagina_83 <-> pagina_97                             23
pagina_86 <-> pagina_87                             23
pagina_86 <-> pagina_98                             23
pagina_87 <-> pagina_97                             23
pagina_88 <-> pagina_95                             23
pagina_88 <-> pagina_96                             23
pagina_88 <-> pagina_98                             23
pagina_89 <-> pagina_97                             23
pagina_91 <-> pagina_95                             23
pagina_100 <-> pagina_88                             22
pagina_69 <-> pagina_72                             22
pagina_79 <-> pagina_99                             22
pagina_80 <-> pagina_84                             22
pagina_80 <-> pagina_88                             22
pagina_82 <-> pagina_88                             22
pagina_83 <-> pagina_85                             22
pagina_85 <-> pagina_94                             22
pagina_86 <-> pagina_93                             22
pagina_87 <-> pagina_91                             22
pagina_87 <-> pagina_95                             22
pagina_88 <-> pagina_89                             22
pagina_88 <-> pagina_93                             22
pagina_89 <-> pagina_94                             22
pagina_89 <-> pagina_98                             22
pagina_80 <-> pagina_83                             21
pagina_83 <-> pagina_86                             21
pagina_85 <-> pagina_91                             21
pagina_87 <-> pagina_88                             21
pagina_87 <-> pagina_89                             21
pagina_89 <-> pagina_91                             21
pagina_89 <-> pagina_92                             21
pagina_92 <-> pagina_99                             21
pagina_100 <-> pagina_85                             20
pagina_100 <-> pagina_89                             20
pagina_78 <-> pagina_79                             20
pagina_79 <-> pagina_91                             20
pagina_80 <-> pagina_85                             20
pagina_82 <-> pagina_83                             20
pagina_82 <-> pagina_91                             20
pagina_83 <-> pagina_89                             20
pagina_83 <-> pagina_96                             20
pagina_85 <-> pagina_86                             20
pagina_86 <-> pagina_89                             20
pagina_86 <-> pagina_95                             20
pagina_86 <-> pagina_97                             20
pagina_87 <-> pagina_93                             20
pagina_87 <-> pagina_98                             20
pagina_88 <-> pagina_99                             20
pagina_89 <-> pagina_95                             20
pagina_90 <-> pagina_97                             20
pagina_65 <-> pagina_66                             19
pagina_68 <-> pagina_69                             19
pagina_69 <-> pagina_74                             19
pagina_75 <-> pagina_78                             19
pagina_75 <-> pagina_79                             19
pagina_75 <-> pagina_96                             19
pagina_77 <-> pagina_79                             19
pagina_79 <-> pagina_80                             19
pagina_79 <-> pagina_96                             19
pagina_82 <-> pagina_85                             19
pagina_82 <-> pagina_86                             19
pagina_83 <-> pagina_84                             19
pagina_83 <-> pagina_88                             19
pagina_83 <-> pagina_91                             19
pagina_83 <-> pagina_98                             19
pagina_84 <-> pagina_85                             19
pagina_85 <-> pagina_98                             19
pagina_86 <-> pagina_90                             19
pagina_86 <-> pagina_96                             19
pagina_87 <-> pagina_99                             19
pagina_88 <-> pagina_92                             19
pagina_88 <-> pagina_97                             19
pagina_100 <-> pagina_83                             18
pagina_75 <-> pagina_87                             18
pagina_75 <-> pagina_91                             18
pagina_80 <-> pagina_82                             18
pagina_80 <-> pagina_91                             18
