Resumen de solapamientos — Feature: feature_4
Tolerancia: 0.0
Total coincidencias: 13
Pares de páginas con solapamiento: 9

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_19 <-> pagina_69                              5
pagina_1 <-> pagina_84                              1
pagina_15 <-> pagina_32                              1
pagina_4 <-> pagina_69                              1
pagina_50 <-> pagina_51                              1
pagina_53 <-> pagina_78                              1
pagina_56 <-> pagina_87                              1
pagina_59 <-> pagina_81                              1
pagina_6 <-> pagina_9                               1
